Movies_name,Rating,Year
TheShawshankRedemption,9.2,1994
TheGodfather,9.2,1972
TheDarkKnight,9.0,2008
TheGodfatherPartII,9.0,1974
12AngryMen,8.9,1957
Schindler'sList,8.9,1993
TheLordoftheRings:TheReturnoftheKing,8.9,2003
PulpFiction,8.9,1994
TheLordoftheRings:TheFellowshipoftheRing,8.8,2001
"Ilbuono,ilbrutto,ilcattivo",8.8,1966
ForrestGump,8.8,1994
FightClub,8.7,1999
Inception,8.7,2010
TheLordoftheRings:TheTwoTowers,8.7,2002
TheEmpireStrikesBack,8.7,1980
TheMatrix,8.7,1999
Goodfellas,8.7,1990
OneFlewOvertheCuckoo'sNest,8.6,1975
Se7en,8.6,1995
Shichininnosamurai,8.6,1954
It'saWonderfulLife,8.6,1946
TheSilenceoftheLambs,8.6,1991
CidadedeDeus,8.6,2002
SavingPrivateRyan,8.6,1998
Lavitaèbella,8.6,1997
TheGreenMile,8.6,1999
Interstellar,8.6,2014
StarWars,8.6,1977
Terminator2:JudgmentDay,8.5,1991
BacktotheFuture,8.5,1985
SentoChihironokamikakushi,8.5,2001
Psycho,8.5,1960
ThePianist,8.5,2002
Léon,8.5,1994
Gisaengchung,8.5,2019
TheLionKing,8.5,1994
Gladiator,8.5,2000
AmericanHistoryX,8.5,1998
TheUsualSuspects,8.5,1995
TheDeparted,8.5,2006
ThePrestige,8.5,2006
Casablanca,8.5,1942
TopGun:Maverick,8.5,2022
Whiplash,8.5,2014
TheIntouchables,8.5,2011
ModernTimes,8.4,1936
Seppuku,8.4,1962
OnceUponaTimeintheWest,8.4,1968
Hotarunohaka,8.4,1988
RearWindow,8.4,1954
Alien,8.4,1979
CityLights,8.4,1931
NuovoCinemaParadiso,8.4,1988
Memento,8.4,2000
ApocalypseNow,8.4,1979
RaidersoftheLostArk,8.4,1981
DjangoUnchained,8.4,2012
WALL·E,8.4,2008
TheLivesofOthers,8.4,2006
SunsetBlvd.,8.4,1950
PathsofGlory,8.4,1957
TheShining,8.4,1980
TheGreatDictator,8.4,1940
WitnessfortheProsecution,8.4,1957
Avengers:InfinityWar,8.4,2018
Aliens,8.3,1986
AmericanBeauty,8.3,1999
Dr.Strangeloveor:HowILearnedtoStopWorryingandLovetheBomb,8.3,1964
Spider-Man:IntotheSpider-Verse,8.3,2018
TheDarkKnightRises,8.3,2012
Oldeuboi,8.3,2003
Joker,8.3,2019
Amadeus,8.3,1984
Braveheart,8.3,1995
ToyStory,8.3,1995
Coco,8.3,2017
DasBoot,8.3,1981
InglouriousBasterds,8.3,2009
Mononoke-hime,8.3,1997
Avengers:Endgame,8.3,2019
OnceUponaTimeinAmerica,8.3,1984
GoodWillHunting,8.3,1997
RequiemforaDream,8.3,2000
ToyStory3,8.3,2010
Kiminonawa.,8.3,2016
Singin'intheRain,8.3,1952
3Idiots,8.3,2009
StarWars:EpisodeVI-ReturnoftheJedi,8.3,1983
2001:ASpaceOdyssey,8.3,1968
EternalSunshineoftheSpotlessMind,8.3,2004
ReservoirDogs,8.3,1992
Tengokutojigoku,8.3,1963
Capharnaüm,8.3,2018
CitizenKane,8.3,1941
LawrenceofArabia,8.3,1962
Jagten,8.3,2012
NorthbyNorthwest,8.3,1959
M-EineStadtsuchteinenMörder,8.3,1931
Vertigo,8.2,1958
Lefabuleuxdestind'AméliePoulain,8.2,2001
