Indian_movies,Year,Rating
Jai Bhim,2021,8.4
Anbe Sivam,2003,8.4
Golmaal,1979,8.4
Nayakan,1987,8.4
Pariyerum Perumal,2018,8.4
Apur Sansar,1959,8.4
3 Idiots,2009,8.3
Manichitrathazhu,1993,8.3
Black Friday,2004,8.3
Kumbalangi Nights,2019,8.3
Taare Zameen Par,2007,8.3
C/o Kancharapalem,2018,8.3
Vikram,2022,8.3
#Home,2021,8.3
Soorarai Pottru,2020,8.3
Dangal,2016,8.3
Kireedam,1989,8.3
Kaithi,2019,8.3
Jersey,2019,8.3
Pather Panchali,1955,8.2
Thevar Magan,1992,8.2
Asuran,2019,8.2
96,2018,8.2
Visaaranai,2015,8.2
Thalapathi,1991,8.2
Natsamrat,2016,8.2
Sarpatta Parambarai,2021,8.2
Drishyam 2,2021,8.2
Sardar Udham,2021,8.2
Aparajito,1956,8.2
Thani Oruvan,2015,8.2
Vada Chennai,2018,8.2
Jaane Bhi Do Yaaro,1983,8.2
Khosla Ka Ghosla!,2006,8.2
Drishyam,2013,8.1
Chupke Chupke,1975,8.1
Peranbu,2018,8.1
Agent Sai Srinivasa Athreya,2019,8.1
Anniyan,2005,8.1
Mahanati,2018,8.1
Satya,1998,8.1
Super Deluxe,2019,8.1
Bangalore Days,2014,8.1
Premam,2015,8.1
Ratsasan,2018,8.1
Devasuram,1993,8.1
Bhaag Milkha Bhaag,2013,8.1
Aruvi,2016,8.1
Gangs of Wasseypur,2012,8.1
Andhadhun,2018,8.1
Drishyam,2015,8.1
Kannathil Muthamittal,2002,8.1
Guide,1965,8.1
Chithram,1988,8.1
Shahid,2012,8.1
Iruvar,1997,8.1
Sairat,2016,8.1
Zindagi Na Milegi Dobara,2011,8.1
Paan Singh Tomar,2012,8.1
Vikram Vedha,2017,8.1
Tumbbad,2018,8.1
Mudhalvan,1999,8.1
Dhuruvangal Pathinaaru,2016,8.1
Black,2005,8.1
Spadikam,1995,8.1
Chhichhore,2019,8.1
"Swades: We, the People",2004,8.1
Chak De! India,2007,8.1
Jo Jeeta Wohi Sikandar,1992,8.1
Pudhu Pettai,2006,8.1
Papanasam,2015,8.1
Pyaasa,1957,8.1
Soodhu Kavvum,2013,8.1
Mandela,2021,8.1
PK,2014,8.0
Article 15,2019,8.0
Munna Bhai M.B.B.S.,2003,8.0
Queen,2013,8.0
Talvar,2015,8.0
Uri: The Surgical Strike,2019,8.0
Kaakkaa Muttai,2014,8.0
OMG: Oh My God!,2012,8.0
Lagaan: Once Upon a Time in India,2001,8.0
Jigarthanda,2014,8.0
Sarfarosh,1999,8.0
Udaan,2010,8.0
Barfi!,2012,8.0
Sholay,1975,8.0
Theeran Adhigaaram Ondru,2017,8.0
Ustad Hotel,2012,8.0
Hera Pheri,2000,8.0
The Legend of Bhagat Singh,2002,8.0
K.G.F: Chapter 2,2022,8.0
Angoor,1982,8.0
Rang De Basanti,2006,8.0
Baasha,1995,8.0
Masaan,2015,8.0
Kahaani,2012,8.0
Baahubali 2: The Conclusion,2017,8.0
Dil Chahta Hai,2001,8.0
